time,field,value
2025-03-28 15:19:00+00:00,temp,21.775
2025-03-28 15:20:00+00:00,temp,21.800000000000008
2025-03-28 15:21:00+00:00,temp,21.7
2025-03-28 15:24:00+00:00,temp,21.7
